county_id,site_id,county,is_changed,site,street,city,zip,lat,lng
15,45,CAMDEN,0,CAMDEN COUNTY BOARD OF ELECTIONS OFFICE,117 NC  343 HWY N,CAMDEN,27921,36.329205,-76.174975
16,46,CARTERET,1,CARTERET COUNTY BOARD OF ELECTIONS OFFICE,1702 LIVE OAK ST,BEAUFORT,28516,34.728545,-76.639054
16,47,CARTERET,1,FORT BENJAMIN PARK RECREATION CENTER,100 MCQUEEN AVE,NEWPORT,28570,34.769086,-76.858275
16,48,CARTERET,1,WESTERN PARK COMMUNITY CENTER,275 OLD HIGHWAY 58,CEDAR POINT,28584,34.694224,-77.072864
17,49,CASWELL,1,CASWELL COUNTY BOARD OF ELECTIONS OFFICE,140 MAIN ST,YANCEYVILLE,27379,36.403898,-79.333458
18,50,CATAWBA,1,CONOVER STATION,403 CONOVER STATION SE,CONOVER,28613,35.70178,-81.218879
18,51,CATAWBA,1,HIGHLAND RECREATION CENTER,1451 8TH ST DR NE,HICKORY,28601,35.745892,-81.317802
18,52,CATAWBA,1,MAIN LIBRARY,115 WEST 'C' ST,NEWTON,28658,35.661456,-81.224646
18,53,CATAWBA,1,SHERRILLS FORD-TERRELL BRANCH LIBRARY,9154 SHERRILLS FORD RD,TERRELL,28682,35.591635,-80.979035
18,54,CATAWBA,1,SOUTHWEST LIBRARY,2944 S NC 127 HWY,HICKORY,28602,35.68588,-81.366556
19,55,CHATHAM,1,GOLDSTON ONE STOP,40 CORAL AVE # A,GOLDSTON,27252,35.590429,-79.327412
19,56,CHATHAM,1,CHATHAM COUNTY BOARD OF ELECTIONS OFFICE,984 THOMPSON ST,PITTSBORO,27312,35.720506,-79.160453
19,57,CHATHAM,1,NORTH CHATHAM,5408 BIG WOODS RD,CHAPEL HILL,27517,35.808015,-79.031698
19,58,CHATHAM,1,ONE STOP SILER CITY,111 S THIRD AVE,SILER CITY,27344,35.72271,-79.459643
20,59,CHEROKEE,0,CHEROKEE COUNTY BOARD OF ELECTIONS OFFICE,40 PEACHTREE ST # B,MURPHY,28906,35.087731,-84.033732
21,60,CHOWAN,0,CHOWAN COUNTY BOARD OF ELECTIONS OFFICE,730 N GRANVILLE ST,EDENTON,27932,36.069377,-76.607881
22,61,CLAY,0,CLAY COUNTY BOARD OF ELECTIONS OFFICE,54 CHURCH ST,HAYESVILLE,28904,35.046055,-83.817586
23,62,CLEVELAND,1,BOILING SPRINGS TOWN HALL (NEW),114 E COLLEGE AVE,SHELBY,28152,35.250105,-81.665418
23,63,CLEVELAND,1,KINGS MOUNTAIN FIRE MUSEUM,269 CLEVELAND AVE,KINGS MOUNTAIN,28086,35.244773,-81.33172
23,64,CLEVELAND,1,MARKET PLACE SHOPPING CENTER,1744 E DIXON BLVD,SHELBY,28152,35.272439,-81.501165
24,65,COLUMBUS,1,COLUMBUS COUNTY BOARD OF ELECTIONS OFFICE,2322 JAMES B WHITE HWY N # A,WHITEVILLE,28472,34.369797,-78.71459
24,66,COLUMBUS,1,RANSOM EVENT CENTER,2696 GENERAL HOWE HWY,RIEGELWOOD,28456,34.357044,-78.277174
24,67,COLUMBUS,1,TABOR CITY COURT HOUSE,110 W FOURTH ST,TABOR CITY,28463,34.14807,-78.877961
24,68,COLUMBUS,1,WOODMAN OF THE WORLD LODGE 130,8119 ANDREW JACKSON HWY SW,CERRO GORDO,28430,34.330533,-78.938699
25,69,CRAVEN,1,COVE CITY FD,425 S MAIN ST,COVE CITY,28523,35.181639,-77.318667
25,70,CRAVEN,1,CRAVEN COUNTY BOARD OF ELECTIONS OFFICE,406 CRAVEN ST,NEW BERN,28560,35.108227,-77.037331
25,71,CRAVEN,1,NEW BEGINNINGS MINISTRY OF FAITH,30 PARK LN,HAVELOCK,28532,34.88397,-76.914923
25,72,CRAVEN,1,VANCEBORO FIRE DEPARTMENT,375 NC 43 HWY,VANCEBORO,28586,35.310328,-77.16029
26,73,CUMBERLAND,1,CLIFFDALE RECREATION CENTER,6404 CLIFFDALE RD,FAYETTEVILLE,28314,35.05901,-78.99342
26,74,CUMBERLAND,1,CUMBERLAND COUNTY BOARD OF ELECTIONS OFFICE,227 FOUNTAINHEAD LN,FAYETTEVILLE,28301,35.053755,-78.889706
26,75,CUMBERLAND,1,GRAY'S CREEK RECREATION CENTER,2964 SCHOOL RD,HOPE MILLS,28348,34.890228,-78.867016
26,76,CUMBERLAND,1,NORTH REGIONAL LIBRARY,855 MCARTHUR RD,FAYETTEVILLE,28311,35.128955,-78.896908
27,77,CURRITUCK,0,CURRITUCK COUNTY BOARD OF ELECTIONS OFFICE,2811 CARATOKE HWY,CURRITUCK,27929,36.452613,-76.022784
28,78,DARE,1,DARE COUNTY BOARD OF ELECTIONS OFFICE,954 MARSHAL COLLINS DR,MANTEO,27954,35.890197,-75.664494
28,79,DARE,1,FESSENDEN ANNEX,47017 BUXTON BACK RD,BUXTON,27920,35.264964,-75.529421
28,80,DARE,1,KILL DEVIL HILLS TOWN HALL,102 TOWN HALL DR,KILL DEVIL HILLS,27948,36.010715,-75.663403
29,81,DAVIDSON,1,ARCADIA COMM BLDG,1281 COMMUNITY RD,LEXINGTON,27295,35.954874,-80.292709
29,82,DAVIDSON,1,DAVIDSON COUNTY BOARD OF ELECTIONS OFFICE,945 N MAIN ST # A,LEXINGTON,27292,35.831504,-80.242258
29,83,DAVIDSON,1,DENTON LIBRARY,310 W SALISBURY ST,DENTON,27239,35.634019,-80.118911
29,84,DAVIDSON,1,MIDWAY FIRE DEPT,228 MIDWAY SCHOOL RD,LEXINGTON,27295,35.953045,-80.215809
29,85,DAVIDSON,1,THOMASVILLE LIBRARY,14 RANDOLPH ST,THOMASVILLE,27360,35.881413,-80.081205
30,86,DAVIE,1,BERMUDA RUN TOWN HALL,120 KINDERTON BLVD # 100,BERMUDA RUN,27006,36.010328,-80.426002
30,87,DAVIE,1,DAVIE COUNTY BOARD OF ELECTIONS OFFICE,161 POPLAR ST # 102,MOCKSVILLE,27028,35.898885,-80.555984
30,88,DAVIE,1,JERUSALEM VOL FIRE DEPT,7185 NC HIGHWAY 801 HWY S,MOCKSVILLE,27028,35.83114,-80.535554
31,89,DUPLIN,1,DUPLIN COUNTY BOARD OF ELECTIONS OFFICE,160 MALLARD ST,KENANSVILLE,28349,34.957914,-77.973863
32,90,DURHAM,1,DUKE UNIVERSITY BRODHEAD CENTER,402 CHAPEL DR,DURHAM,27705,36.001194,-78.939965
32,91,DURHAM,1,DURHAM COUNTY BOARD OF ELECTIONS OFFICE,201 N ROXBORO ST,DURHAM,27701,35.99468,-78.897925
32,92,DURHAM,1,EAST REGIONAL LIBRARY,211 LICK CREEK LN,DURHAM,27703,35.978544,-78.809505
32,93,DURHAM,1,NCCU ONESTOP,640 NELSON ST,DURHAM,27707,35.971774,-78.895592
32,94,DURHAM,1,NORTH REGIONAL LIBRARY,221 MILTON RD,DURHAM,27712,36.087554,-78.914442
32,95,DURHAM,1,SOUTH REGIONAL LIBRARY,4505 S ALSTON AVE,DURHAM,27713,35.90304,-78.888463
33,96,EDGECOMBE,0,EDGECOMBE COUNTY ADMINISTRATIVE BUILDING - AUDITORIUM,201 ST ANDREW ST,TARBORO,27886,35.896546,-77.532115
33,97,EDGECOMBE,0,EDGECOMBE COUNTY MEMORIAL LIBRARY (PINETOPS BRANCH),201 SE FIRST ST,PINETOPS,27864,35.790049,-77.637854
33,98,EDGECOMBE,0,ROCKY MOUNT DEPARTMENT OF SOCIAL SERVICES,301 S FAIRVIEW RD,ROCKY MOUNT,27801,35.926197,-77.773727
34,99,FORSYTH,1,BROWN DOUGLAS RECREATION CENTER,4725 INDIANA AVE,WINSTON SALEM,27105,36.155886,-80.270852
34,100,FORSYTH,1,CLEMMONS LIBRARY,3554 CLEMMONS RD,CLEMMONS,27012,36.022185,-80.376801
34,101,FORSYTH,1,FORSYTH COUNTY BOARD OF ELECTIONS OFFICE,201 N CHESTNUT ST,WINSTON SALEM,27101,36.097248,-80.241375
34,102,FORSYTH,1,KERNERSVILLE VFW POST #5352,612 EDGEWOOD ST,KERNERSVILLE,27284,36.11069,-80.065746
34,103,FORSYTH,1,LEWISVILLE LIBRARY,6490 SHALLOWFORD RD,LEWISVILLE,27023,36.096455,-80.420221
34,104,FORSYTH,1,MAZIE WOODRUFF,4905 LANSING DR,WINSTON SALEM,27105,36.150061,-80.212965
34,105,FORSYTH,1,MILLER PARK RECREATION CENTER,400 LEISURE LN,WINSTON SALEM,27103,36.086288,-80.282046
34,106,FORSYTH,1,OLD TOWN REC CENTERE,4550 SHATTALON DR,WINSTON SALEM,27106,36.157213,-80.335356
34,107,FORSYTH,1,RURAL HALL LIBRARY,7125 BROAD ST,RURAL HALL,27045,36.226043,-80.286356
34,108,FORSYTH,1,SOUTHSIDE LIBRARY,3185 BUCHANAN ST,WINSTON SALEM,27127,36.054739,-80.252823
